epoch,_time,amount,action,location,ID,user
1532567764,2018/07/25 20:16:04,167,withdrawal,truthville,193534,Abbot
1532567762,2018/07/25 20:16:02,256,withdrawal,truthville,133265,Abdul
1532567761,2018/07/25 20:16:01,214,withdrawal,margaritaville,108348,Abraham
1532567759,2018/07/25 20:15:59,78,deposit,fresno,169570,Adena
1532567759,2018/07/25 20:15:59,379,withdrawal,boston,193540,Adrian
1532567758,2018/07/25 20:15:58,213,deposit,margaritaville,182456,Alden
1532567756,2018/07/25 20:15:56,46,withdrawal,greenville,113568,Alfonso
1532567755,2018/07/25 20:15:55,87,withdrawal,truthville,194760,Amaya
1532567754,2018/07/25 20:15:54,228,withdrawal,darthmouth,139899,Amela
1532567754,2018/07/25 20:15:54,148,withdrawal,darthmouth,187998,Amethyst
1532567753,2018/07/25 20:15:53,125,withdrawal,bermuda,175459,Amy
1532567751,2018/07/25 20:15:51,478,deposit,jamestown,159109,Aquila
1532567751,2018/07/25 20:15:51,127,deposit,catalina,126833,Aristotle
1532567750,2018/07/25 20:15:50,427,deposit,greenville,140744,Arthur
1532567749,2018/07/25 20:15:49,269,deposit,boston,198871,Audra
1532567748,2018/07/25 20:15:48,62,deposit,bermuda,190505,Avye
1532567747,2018/07/25 20:15:47,148,deposit,bermuda,134456,Barclay
1532567745,2018/07/25 20:15:45,450,withdrawal,margaritaville,162255,Baxter
1532567744,2018/07/25 20:15:44,97,withdrawal,james,195242,Benedict
1532567742,2018/07/25 20:15:42,413,deposit,truthville,158418,Blossom
1532567741,2018/07/25 20:15:41,475,deposit,seattle,180081,Bradley
1532567740,2018/07/25 20:15:40,65,withdrawal,catalina,139928,Bree
1532567738,2018/07/25 20:15:38,17,withdrawal,darthmouth,166022,Brendan
1532567738,2018/07/25 20:15:38,199,withdrawal,darthmouth,180946,Brock
1532567737,2018/07/25 20:15:37,151,deposit,seattle,131117,Brody
1532567736,2018/07/25 20:15:36,229,withdrawal,fresno,129466,Bruno
1532567735,2018/07/25 20:15:35,121,deposit,greenville,190917,Buckminster
1532567733,2018/07/25 20:15:33,84,withdrawal,jamestown,101680,Buffy
1532567733,2018/07/25 20:15:33,230,withdrawal,catalina,106723,Cadman
1532567732,2018/07/25 20:15:32,490,withdrawal,jamestown,181651,Caesar
1532567731,2018/07/25 20:15:31,128,withdrawal,seattle,196361,Callum
1532567730,2018/07/25 20:15:30,476,withdrawal,jamestown,193205,Camden
1532567729,2018/07/25 20:15:29,330,withdrawal,seattle,194787,Camille
1532567728,2018/07/25 20:15:28,28,deposit,catalina,197913,Candice
1532567726,2018/07/25 20:15:26,192,deposit,james,124594,Carl
1532567726,2018/07/25 20:15:26,326,withdrawal,seattle,139542,Carlos
1532567725,2018/07/25 20:15:25,300,deposit,james,149848,Cedric
1532567724,2018/07/25 20:15:24,496,deposit,james,190617,Charles
1532567723,2018/07/25 20:15:23,418,deposit,jamestown,114454,Chase
1532567723,2018/07/25 20:15:23,59,withdrawal,fresno,121995,Chester
1532567721,2018/07/25 20:15:21,92,withdrawal,boston,113973,Christian
1532567720,2018/07/25 20:15:20,341,withdrawal,darthmouth,144654,Colby
1532567719,2018/07/25 20:15:19,475,withdrawal,margaritaville,107899,Colin
1532567719,2018/07/25 20:15:19,193,deposit,truthville,107029,Colleen
1532567718,2018/07/25 20:15:18,237,withdrawal,jamestown,100807,Connor
1532567717,2018/07/25 20:15:17,29,deposit,james,137167,Courtney
1532567715,2018/07/25 20:15:15,319,deposit,fresno,161897,Craig
1532567714,2018/07/25 20:15:14,51,withdrawal,truthville,164804,Cyrus
1532567713,2018/07/25 20:15:13,442,deposit,jamestown,110084,Dacey
1532567712,2018/07/25 20:15:12,212,withdrawal,truthville,156552,Dalton
1532567710,2018/07/25 20:15:10,466,deposit,margaritaville,127758,Damon
1532567709,2018/07/25 20:15:09,480,withdrawal,greenville,176499,Dante
1532567708,2018/07/25 20:15:08,151,withdrawal,james,128478,Daquan
1532567707,2018/07/25 20:15:07,468,withdrawal,jamestown,183675,Daryl
1532567706,2018/07/25 20:15:06,104,deposit,jamestown,155074,Davis
1532567705,2018/07/25 20:15:05,100,deposit,darthmouth,135638,Dean
1532567703,2018/07/25 20:15:03,482,withdrawal,jamestown,159813,Debra
1532567703,2018/07/25 20:15:03,411,withdrawal,fresno,183576,Demetria
1532567703,2018/07/25 20:15:03,90,deposit,margaritaville,173957,Dennis
1532567702,2018/07/25 20:15:02,160,deposit,catalina,132560,Donna
1532567701,2018/07/25 20:15:01,215,deposit,fresno,192214,Donovan
1532567700,2018/07/25 20:15:00,261,deposit,greenville,183499,Dorian
1532567698,2018/07/25 20:14:58,368,deposit,darthmouth,194332,Doris
1532567697,2018/07/25 20:14:57,335,withdrawal,truthville,103498,Drew
1532567696,2018/07/25 20:14:56,50,withdrawal,truthville,155105,Dylan
1532567696,2018/07/25 20:14:56,461,withdrawal,bermuda,148413,Eagan
1532567695,2018/07/25 20:14:55,324,withdrawal,darthmouth,121232,Eaton
1532567693,2018/07/25 20:14:53,177,withdrawal,greenville,193470,Eden
1532567692,2018/07/25 20:14:52,48,withdrawal,truthville,102268,Elijah
1532567691,2018/07/25 20:14:51,297,withdrawal,greenville,128429,Ella
1532567690,2018/07/25 20:14:50,162,withdrawal,bermuda,147166,Emerson
1532567689,2018/07/25 20:14:49,51,deposit,jamestown,141646,Emery
1532567688,2018/07/25 20:14:48,297,deposit,margaritaville,129232,Emily
1532567688,2018/07/25 20:14:48,195,deposit,greenville,194875,Emma
1532567687,2018/07/25 20:14:47,441,withdrawal,darthmouth,181217,Erin
1532567685,2018/07/25 20:14:45,163,withdrawal,james,168823,Evan
1532567684,2018/07/25 20:14:44,1,deposit,truthville,193886,Fallon
1532567683,2018/07/25 20:14:43,370,deposit,bermuda,162966,Fay
1532567682,2018/07/25 20:14:42,82,deposit,jamestown,196316,Flavia
1532567682,2018/07/25 20:14:42,283,deposit,james,120807,Francesca
1532567682,2018/07/25 20:14:42,397,withdrawal,fresno,156392,Fuller
1532567680,2018/07/25 20:14:40,337,withdrawal,greenville,193335,Gage
1532567680,2018/07/25 20:14:40,423,withdrawal,greenville,116521,Gareth
1532567678,2018/07/25 20:14:38,262,deposit,boston,145393,Garrett
1532567677,2018/07/25 20:14:37,225,deposit,truthville,126319,Garth
1532567677,2018/07/25 20:14:37,240,deposit,greenville,185181,Geoffrey
1532567676,2018/07/25 20:14:36,128,withdrawal,fresno,100737,George
1532567676,2018/07/25 20:14:36,480,deposit,catalina,151634,Ginger
1532567674,2018/07/25 20:14:34,37,withdrawal,boston,113322,Giselle
1532567673,2018/07/25 20:14:33,60,withdrawal,darthmouth,192555,Harrison
1532567673,2018/07/25 20:14:33,427,deposit,boston,109181,Hashim
1532567672,2018/07/25 20:14:32,18,deposit,margaritaville,155097,Hayes
1532567670,2018/07/25 20:14:30,216,withdrawal,truthville,197772,Hayley
1532567668,2018/07/25 20:14:28,198,withdrawal,truthville,177311,Hedda
1532567668,2018/07/25 20:14:28,147,deposit,darthmouth,132500,Hedy
1532567667,2018/07/25 20:14:27,118,deposit,catalina,136028,Heidi
1532567666,2018/07/25 20:14:26,38,deposit,seattle,172848,Hyacinth
1532567666,2018/07/25 20:14:26,81,withdrawal,truthville,179925,Ian
1532567666,2018/07/25 20:14:26,5,deposit,darthmouth,109974,Idola
1532567664,2018/07/25 20:14:24,228,deposit,james,134528,Ignatius
1532567663,2018/07/25 20:14:23,74,deposit,margaritaville,151936,Ila
1532567662,2018/07/25 20:14:22,370,withdrawal,margaritaville,138747,Illiana
1532567661,2018/07/25 20:14:21,278,deposit,greenville,186993,Ima
1532567660,2018/07/25 20:14:20,178,withdrawal,truthville,125659,India
1532567660,2018/07/25 20:14:20,35,withdrawal,seattle,151942,Indira
1532567658,2018/07/25 20:14:18,118,withdrawal,greenville,199658,Ira
1532567658,2018/07/25 20:14:18,311,withdrawal,margaritaville,105567,Irene
1532567657,2018/07/25 20:14:17,22,deposit,margaritaville,108047,Ishmael
1532567655,2018/07/25 20:14:15,488,deposit,margaritaville,190969,Ivy
1532567653,2018/07/25 20:14:13,309,deposit,bermuda,150698,Jack
1532567652,2018/07/25 20:14:12,314,deposit,truthville,178624,Jackson
1532567651,2018/07/25 20:14:11,281,deposit,margaritaville,194936,Jada
1532567650,2018/07/25 20:14:10,436,deposit,darthmouth,128180,Jaime
1532567649,2018/07/25 20:14:09,450,deposit,jamestown,175627,Jane
1532567649,2018/07/25 20:14:09,203,deposit,fresno,172756,Jaquelyn
1532567647,2018/07/25 20:14:07,25,withdrawal,fresno,118922,Jasper
1532567645,2018/07/25 20:14:05,455,withdrawal,seattle,117595,Jayme
1532567644,2018/07/25 20:14:04,459,deposit,truthville,150102,Jelani
1532567643,2018/07/25 20:14:03,63,deposit,margaritaville,161818,Jennifer
1532567643,2018/07/25 20:14:03,231,deposit,jamestown,172703,Jermaine
1532567642,2018/07/25 20:14:02,257,deposit,catalina,189418,Jocelyn
1532567642,2018/07/25 20:14:02,240,withdrawal,truthville,128028,Joel
1532567642,2018/07/25 20:14:02,423,withdrawal,darthmouth,121804,John
1532567641,2018/07/25 20:14:01,299,deposit,truthville,108589,Jordan
1532567639,2018/07/25 20:13:59,250,deposit,james,111698,Joy
1532567638,2018/07/25 20:13:58,113,deposit,margaritaville,185704,Judith
1532567637,2018/07/25 20:13:57,481,withdrawal,greenville,172145,Kai
1532567637,2018/07/25 20:13:57,23,withdrawal,greenville,188255,Karen
1532567637,2018/07/25 20:13:57,338,withdrawal,margaritaville,199442,Karly
1532567636,2018/07/25 20:13:56,142,deposit,seattle,132696,Kaseem
1532567636,2018/07/25 20:13:56,231,withdrawal,james,152036,Kasimir
1532567635,2018/07/25 20:13:55,398,deposit,catalina,145542,Kato
1532567634,2018/07/25 20:13:54,229,withdrawal,truthville,119358,Keaton
1532567633,2018/07/25 20:13:53,241,deposit,seattle,142332,Keith
1532567633,2018/07/25 20:13:53,418,withdrawal,james,167737,Kelsey
1532567633,2018/07/25 20:13:53,303,deposit,catalina,144692,Kelsie
1532567632,2018/07/25 20:13:52,407,deposit,catalina,110286,Kenneth
1532567631,2018/07/25 20:13:51,466,deposit,margaritaville,106053,Kenyon
1532567630,2018/07/25 20:13:50,330,withdrawal,boston,151320,Kermit
1532567629,2018/07/25 20:13:49,3,withdrawal,jamestown,179421,Kevin
1532567628,2018/07/25 20:13:48,303,withdrawal,truthville,148257,Kibo
1532567628,2018/07/25 20:13:48,438,withdrawal,jamestown,197670,Kirsten
1532567627,2018/07/25 20:13:47,155,deposit,greenville,190036,Kitra
1532567627,2018/07/25 20:13:47,429,deposit,catalina,188944,Knox
1532567627,2018/07/25 20:13:47,284,withdrawal,bermuda,136136,Kuame
1532567626,2018/07/25 20:13:46,492,deposit,fresno,128955,Kylee
1532567624,2018/07/25 20:13:44,344,deposit,truthville,131754,Lael
1532567622,2018/07/25 20:13:42,12,withdrawal,greenville,184684,Lane
