"_time",messageBytes,cached,cp,bandwidthMbps,netPerflastMileRTT,netPerfdownloadTime,status,responseTime,failedvalues,requestClientIp
"2019-01-16T23:59:59.000+0000",861136,true,558087,"105.96687563004033",12,62,201,74,0,"217.250.91.227"
"2019-01-16T23:59:59.000+0000",333043,false,81330035,"45.373507908412385",6,56,301,62,0,"216.240.63.104"
"2019-01-16T23:59:59.000+0000",790645,true,81330035,"62.18703751711501",16,97,201,113,0,"209.99.241.251"
"2019-01-16T23:59:35.000+0000",1272304,false,404065,"142.74866440716912",11,68,200,79,0,"216.165.243.123"
"2019-01-16T23:59:29.000+0000",1145549,true,38428,"114.99796415630139",2,76,200,78,0,"223.218.23.222"
"2019-01-16T23:59:39.000+0000",1427999,false,15030,"160.2171729592716",7,68,201,75,0,"216.220.173.197"
"2019-01-16T23:59:35.000+0000",1227058,false,81330035,"9361.709594726562",29,1,400,30,1,"216.224.132.84"
"2019-01-16T23:59:31.000+0000",919292,true,884685,"194.82337103949655",48,36,201,84,0,"209.251.94.5"
"2019-01-16T23:59:39.000+0000",354954,false,15030,"42.31381416320801",13,64,304,77,0,"217.163.108.220"
"2019-01-16T23:59:33.000+0000",55401,false,26870,"10.063716343470983",48,42,200,90,0,"223.95.127.230"
"2019-01-16T23:59:35.000+0000",411391,true,81330035,"92.31365428251378",40,34,200,74,0,"216.248.44.9"
"2019-01-16T23:59:29.000+0000",715966,true,9999,"420.18362192007214",19,13,201,32,0,"109.111.223.40"
"2019-01-16T23:59:33.000+0000",692108,false,81330035,"58.025988903674445",26,91,201,117,0,"209.156.148.18"
"2019-01-16T23:59:39.000+0000",225258,false,318725,"85.92910766601562",44,20,412,64,1,"217.223.120.97"
"2019-01-16T23:59:41.000+0000",710722,false,9999,"301.24325222439234",27,18,201,45,0,"72.211.226.196"
"2019-01-16T23:59:33.000+0000",156271,true,26870,"34.06437465122768",14,35,201,49,0,"223.212.0.233"
"2019-01-16T23:59:31.000+0000",1268371,false,884685,"102.94577415953292",39,94,200,133,0,"216.112.199.171"
"2019-01-16T23:59:30.000+0000",47088,true,682089,"71.8505859375",8,5,401,13,1,"223.253.12.171"
"2019-01-16T23:59:27.000+0000",858120,true,26870,"68.91511615953948",33,95,201,128,0,"223.91.234.163"
"2019-01-16T23:59:27.000+0000",1306627,false,884685,"151.0420134573272",0,66,200,66,0,"216.165.248.63"
"2019-01-16T23:59:42.000+0000",957385,true,9423450,"112.37335205078125",39,65,411,104,1,"217.200.26.64"
"2019-01-16T23:59:27.000+0000",1367363,true,96062,"196.83305272516213",37,53,201,90,0,"217.172.128.81"
"2019-01-16T23:59:31.000+0000",997875,true,64193351,"84.59091186523438",47,90,405,137,1,"217.167.247.133"
"2019-01-16T23:59:38.000+0000",1140989,false,15030,"2176.2638092041016",42,4,200,46,0,"216.193.238.131"
"2019-01-16T23:59:36.000+0000",979610,true,26870,"99.65108235677084",35,75,200,110,0,"223.86.140.62"
"2019-01-16T23:59:40.000+0000",211102,true,16789151,"30.388310270489384",44,53,304,97,0,"216.221.46.114"
"2019-01-16T23:59:35.000+0000",503483,true,15030,"43.16034209862184",46,89,200,135,0,"216.195.254.219"
"2019-01-16T23:59:37.000+0000",41268,false,9999,"3.2127536073022958",25,98,403,123,1,"141.136.163.231"
"2019-01-16T23:59:37.000+0000",779484,false,81330035,"61.94782257080078",6,96,200,102,0,"216.253.207.87"
"2019-01-16T23:59:42.000+0000",1395046,false,8916477,"295.6487867567275",18,36,200,54,0,"216.77.137.180"
"2019-01-16T23:59:33.000+0000",686078,false,9999,"58.813030800122895",5,89,201,94,0,"189.239.41.253"
"2019-01-16T23:59:28.000+0000",312963,true,9999,"341.10260009765625",41,7,201,48,0,"2.42.114.129"
"2019-01-16T23:59:40.000+0000",1357473,true,15030,"139.95536597999367",30,74,200,104,0,"216.1.2.151"
"2019-01-16T23:59:38.000+0000",835351,false,26870,"88.51697709825304",13,72,206,85,0,"223.128.16.169"
"2019-01-16T23:59:41.000+0000",286249,true,9999,"272.98831939697266",35,8,200,43,0,"68.80.141.123"
"2019-01-16T23:59:30.000+0000",1384563,true,9999,"1760.5628967285156",35,6,405,41,1,"189.65.33.100"
"2019-01-16T23:59:37.000+0000",502953,false,9999,"52.564751611997",25,73,201,98,0,"60.171.5.149"
"2019-01-16T23:59:34.000+0000",264067,false,682089,"47.968364897228426",38,42,200,80,0,"223.55.115.218"
"2019-01-16T23:59:34.000+0000",248785,false,4388815,"158.1732432047526",46,12,201,58,0,"223.218.28.173"
"2019-01-16T23:59:35.000+0000",888360,true,81330035,"322.7451869419643",0,21,401,21,1,"216.248.16.187"
"2019-01-16T23:59:32.000+0000",199364,false,884685,"169.00295681423611",0,9,303,9,0,"216.39.246.180"
"2019-01-16T23:59:40.000+0000",207242,true,8227582,"1581.1309814453125",48,1,503,49,1,"223.104.8.161"
"2019-01-16T23:59:41.000+0000",647863,false,9999,"77.2312879562378",23,64,200,87,0,"178.43.89.168"
"2019-01-16T23:59:42.000+0000",686233,false,8916477,"55.110971551192435",36,95,400,131,1,"216.233.143.92"
"2019-01-16T23:59:27.000+0000",682310,true,15030,"867.6020304361979",50,6,200,56,0,"216.126.135.46"
"2019-01-16T23:59:37.000+0000",934424,false,4388815,"104.83954934512867",15,68,201,83,0,"223.216.234.203"
"2019-01-16T23:59:40.000+0000",320391,false,36322,"40.73982238769531",39,60,200,99,0,"216.245.254.218"
"2019-01-16T23:59:42.000+0000",262312,true,81330035,"46.541435773982556",29,43,411,72,1,"216.99.132.150"
"2019-01-16T23:59:29.000+0000",1085405,false,80457181,"201.9751944193026",11,41,302,52,0,"201.59.187.175"
"2019-01-16T23:59:42.000+0000",239816,true,9999,"261.37869698660717",26,7,200,33,0,"37.229.219.122"
"2019-01-16T23:59:31.000+0000",285812,false,15030,"35.17052435105847",5,62,201,67,0,"216.217.151.15"
"2019-01-16T23:59:32.000+0000",175739,false,4388815,"15.411289258934985",1,87,201,88,0,"223.219.150.159"
"2019-01-16T23:59:37.000+0000",1381129,false,17400,"245.0506520825763",2,43,201,45,0,"216.254.190.238"
"2019-01-16T23:59:38.000+0000",326379,true,9999,"65.52826730828535",36,38,201,74,0,"59.132.106.179"
"2019-01-16T23:59:34.000+0000",784756,true,38428,"130.1568072775136",21,46,302,67,0,"223.134.77.8"
"2019-01-16T23:59:32.000+0000",144280,true,9999,"22.46467434630102",33,49,404,82,1,"213.125.200.90"
"2019-01-16T23:59:30.000+0000",1031983,true,7494377,"99.66336020940467",12,79,500,91,1,"220.225.159.112"
"2019-01-16T23:59:41.000+0000",394014,false,95894425,"200.4058837890625",4,15,201,19,0,"217.255.242.203"
"2019-01-16T23:59:30.000+0000",346197,true,8916477,"293.47483317057294",36,9,200,45,0,"216.118.190.165"
"2019-01-16T23:59:39.000+0000",852462,false,81330035,"151.25044002089388",25,43,201,68,0,"216.243.255.233"
"2019-01-16T23:59:38.000+0000",923406,true,81330035,"123.59699450041118",11,57,200,68,0,"209.248.155.213"
"2019-01-16T23:59:34.000+0000",840346,false,9999,"110.5401927027209",17,58,400,75,1,"80.131.36.30"
"2019-01-16T23:59:42.000+0000",1494455,false,404065,"215.1280529094192",46,53,201,99,0,"216.241.35.237"
"2019-01-16T23:59:37.000+0000",154306,true,8227582,"32.701704237196175",14,36,201,50,0,"223.104.45.45"
"2019-01-16T23:59:42.000+0000",1272009,true,85949,"277.2759573800223",46,35,201,81,0,"216.40.135.146"
"2019-01-16T23:59:34.000+0000",862381,false,95894425,"67.13719270667251",0,98,201,98,0,"217.255.116.171"
"2019-01-16T23:59:36.000+0000",286174,true,16789151,"21.833343505859375",23,100,304,123,0,"216.209.143.126"
"2019-01-16T23:59:36.000+0000",31265,false,682089,"4.417278148509839",28,54,201,82,0,"223.255.200.144"
