date,host,volume,amount
2018 Jul 10 14:37:50.378679,host2,32365,287475
2018 Jul 10 14:37:50.441611,host3,45764,192880
2018 Jul 10 14:37:50.506724,host6,45504,265062
2018 Jul 10 14:37:50.570958,host7,46833,151653
2018 Jul 10 14:37:50.637231,host2,35719,350682
2018 Jul 10 14:37:50.701120,host9,42599,235632
2018 Jul 10 14:37:50.763247,host6,35955,324772
2018 Jul 10 14:37:50.827136,host8,47541,256854
2018 Jul 10 14:37:50.889997,host6,43780,249164
2018 Jul 10 14:37:50.953862,host1,43073,57110
2018 Jul 10 14:37:51.18027,host8,38394,411342
2018 Jul 10 14:37:51.81438,host8,46816,489920
2018 Jul 10 14:37:51.146679,host3,40419,302488
2018 Jul 10 14:37:51.209394,host8,45785,84913
2018 Jul 10 14:37:51.273547,host3,39776,293899
2018 Jul 10 14:37:51.336591,host9,45714,250776
2018 Jul 10 14:37:51.399353,host2,39879,77873
2018 Jul 10 14:37:51.464253,host9,32970,146280
2018 Jul 10 14:37:51.529273,host5,47811,222854
2018 Jul 10 14:37:51.594543,host9,37891,187048
2018 Jul 10 14:37:51.658199,host2,32160,432970
2018 Jul 10 14:37:51.721598,host9,48649,89343
2018 Jul 10 14:37:51.787399,host4,32948,180879
2018 Jul 10 14:37:51.856337,host2,33509,333738
2018 Jul 10 14:37:51.922677,host8,43947,282113
2018 Jul 10 14:37:51.986845,host10,42490,219641
2018 Jul 10 14:37:52.50750,host8,40417,472128
2018 Jul 10 14:37:52.120842,host3,42925,459728
2018 Jul 10 14:37:52.187013,host10,30886,46814
2018 Jul 10 14:37:52.251675,host9,45434,436864
2018 Jul 10 14:37:52.321348,host4,40704,211561
2018 Jul 10 14:37:52.384834,host2,32192,161456
2018 Jul 10 14:37:52.453317,host10,36506,174367
2018 Jul 10 14:37:52.517420,host4,32535,245101
2018 Jul 10 14:37:52.581415,host6,37893,83381
2018 Jul 10 14:37:52.645294,host5,34554,83750
2018 Jul 10 14:37:52.710066,host1,43789,161288
2018 Jul 10 14:37:52.774359,host1,39693,347487
2018 Jul 10 14:37:52.838180,host1,38036,93333
2018 Jul 09 14:37:52.901836,host8,48690,30153
2018 Jul 09 14:37:52.967821,host4,49256,57158
2018 Jul 09 14:37:53.30336,host7,39587,432465
2018 Jul 09 14:37:53.94127,host6,30049,233155
2018 Jul 09 14:37:53.157862,host7,38567,229571
2018 Jul 09 14:37:53.221462,host8,35206,75110
2018 Jul 09 14:37:53.286721,host2,44120,413432
2018 Jul 09 14:37:53.350769,host8,38267,221272
2018 Jul 09 14:37:53.414025,host9,43367,484835
2018 Jul 09 14:37:53.477220,host10,33356,413689
2018 Jul 09 14:37:53.540159,host7,42699,111933
2018 Jul 09 14:37:53.604139,host9,45052,138348
2018 Jul 09 14:37:53.667562,host4,36668,104510
2018 Jul 09 14:37:53.731415,host7,47836,78024
2018 Jul 09 14:37:53.795156,host8,41202,353513
2018 Jul 09 14:37:53.860020,host3,41362,349015
2018 Jul 08 14:37:53.923597,host1,32288,29310
2018 Jul 08 14:37:53.987307,host9,40450,146179
2018 Jul 08 14:37:54.51236,host1,45127,251291
2018 Jul 08 14:37:54.116152,host9,47083,261767
2018 Jul 08 14:37:54.180996,host6,40791,207479
2018 Jul 08 14:37:54.246226,host5,49006,163792
2018 Jul 08 14:37:54.309565,host9,32820,11706
2018 Jul 08 14:37:54.373269,host10,39362,174068
2018 Jul 08 14:37:54.438463,host1,38279,228483
2018 Jul 08 14:37:54.503594,host4,49831,480258
2018 Jul 08 14:37:54.567789,host5,46245,364443
2018 Jul 08 14:37:54.635876,host3,42758,110207
2018 Jul 08 14:37:54.701761,host7,35986,492009
2018 Jul 08 14:37:54.766274,host3,44560,180380
2018 Jul 08 14:37:54.830030,host7,32044,202307
2018 Jul 08 14:37:54.893750,host4,48753,155212
2018 Jul 08 14:37:54.957309,host6,37379,312804
2018 Jul 07 14:37:55.22291,host2,41168,441362
2018 Jul 07 14:37:55.84790,host4,42185,279397
2018 Jul 07 14:37:55.148900,host5,32765,194482
2018 Jul 07 14:37:55.215134,host4,39422,216059
2018 Jul 07 14:37:55.278736,host2,39380,51612
2018 Jul 07 14:37:55.344070,host8,37889,448840
2018 Jul 07 14:37:55.410448,host5,34755,358680
2018 Jul 07 14:37:55.476961,host4,47038,33309
2018 Jul 07 14:37:55.541453,host3,46178,10009
2018 Jul 07 14:37:55.605342,host4,40499,476591
2018 Jul 07 14:37:55.669182,host9,42866,260336
2018 Jul 07 14:37:55.734652,host2,34668,386792
2018 Jul 06 14:37:55.803335,host1,40650,254166
2018 Jul 06 14:37:55.868232,host8,41247,118436
2018 Jul 06 14:37:55.931913,host5,45541,50061
2018 Jul 06 14:37:55.997535,host10,46264,153391
2018 Jul 06 14:37:56.62526,host8,40813,421468
2018 Jul 06 14:37:56.131386,host1,39528,154355
2018 Jul 06 14:37:56.196855,host8,46644,404755
2018 Jul 06 14:37:56.261978,host8,45718,216620
2018 Jul 06 14:37:56.326878,host10,46966,328735
2018 Jul 06 14:37:56.394558,host6,38741,72792
2018 Jul 06 14:37:56.456939,host2,33428,108186
2018 Jul 06 14:37:56.520652,host3,39595,43840
2018 Jul 06 14:37:56.583013,host10,39642,243961
2018 Jul 06 14:37:56.648771,host3,35474,68140
2018 Jul 06 14:37:56.712684,host6,32679,441943
2018 Jul 06 14:37:56.778005,host4,48279,105577
